Year,ff,luc,S_o,S_b,S_c,Coal,Oil,Gas,Cement emission,Flaring,Other emission
1850,0.053738,0.66,0.16,0.243734071,,0.053738,0,0,0,0,0
1851,0.054259,0.69,0.17,0.522607394,,0.054259,0,0,0,0,0
1852,0.056646,0.7,0.17,0.678214626,,0.056646,0,0,0,0,0
1853,0.059282,0.71,0.17,0.844337541,,0.059282,0,0,0,0,0
1854,0.069634,0.72,0.17,0.98712908,,0.069634,0,0,0,0,0
1855,0.071006,0.72,0.18,0.942939623,,0.070996,0.00001,0,0,0,0
1856,0.07568,0.73,0.18,0.805926693,,0.075669,0.000011,0,0,0,0
1857,0.076389,0.74,0.19,0.572229037,,0.076375,0.000014,0,0,0,0
1858,0.077557666,0.75,0.2,0.426267413,,0.077540666,0.000017,0,0,0,0
1859,0.082235713,0.75,0.2,0.437022143,,0.082220715,1.50E-05,0,0,0,0
1860,0.090240523,0.72,0.2,0.39136455,,0.090165883,7.46E-05,0,0,0,0
1861,0.094905714,0.69,0.21,0.290724178,,0.094648882,0.000256832,0,0,0,0
1862,0.09663119,0.68,0.22,0.168470953,,0.096249455,0.000381734,0,0,0,0
1863,0.103127475,0.68,0.23,0.061163587,,0.102774543,0.000352932,0,0,0,0
1864,0.111105428,0.67,0.23,-0.006103909,,0.110802475,0.000302952,0,0,0,0
1865,0.117987713,0.67,0.24,-0.121223494,,0.117627495,0.000360218,0,0,0,0
1866,0.121716618,0.66,0.24,-0.234306376,,0.121183885,0.000532733,0,0,0,0
1867,0.130408,0.66,0.25,-0.382369787,,0.129866242,0.000541758,0,0,0,0
1868,0.133939,0.66,0.26,-0.30560728,,0.133314309,0.000624691,0,0,0,0
1869,0.14223,0.65,0.27,-0.205689151,,0.14151647,0.00071353,0,0,0,0
1870,0.145343,0.7,0.27,-0.135678576,,0.144487879,0.000855121,0,0,0,0
1871,0.154515,0.73,0.28,-0.082752353,,0.153619233,0.000895767,0,0,0,0
1872,0.170953,0.75,0.29,-0.038450146,,0.16994365,0.00100935,0,0,0,0
1873,0.18161,0.77,0.3,0.068656424,,0.180062616,0.001547384,0,0,0,0
1874,0.170032,0.78,0.3,0.275230342,,0.168328068,0.001703932,0,0,0,0
1875,0.184443,0.79,0.31,0.501699834,,0.182850355,0.001592645,0,0,0,0
1876,0.187105,0.8,0.32,0.655456586,,0.185321105,0.001783895,0,0,0,0
1877,0.190802,0.81,0.34,0.700644942,,0.188393683,0.002408317,0,0,0,0
1878,0.192243235,0.83,0.34,0.664424821,,0.18950288,0.002740355,0,0,0,0
1879,0.206022712,0.84,0.35,0.573842576,,0.202567571,0.003455141,0,0,0,0
1880,0.232997997,0.85,0.36,0.367585438,,0.228804696,0.004193254,0,4.70E-08,0,0
1881,0.240831059,0.85,0.37,0.237876189,,0.236125101,0.004705901,0,5.67E-08,0,0
1882,0.254345499,0.86,0.38,0.153360722,,0.249131356,0.00516907,0.000045,7.37E-08,0,0
1883,0.270478282,0.88,0.39,0.199132632,,0.265870378,0.00450381,0.000103998,9.51E-08,0,0
1884,0.273519182,0.88,0.4,0.156440677,,0.268198388,0.005000703,0.00032,9.08E-08,0,0
1885,0.275565329,0.89,0.4,-0.040433884,,0.269376756,0.005174479,0.001014,9.42E-08,0,0
1886,0.27987867,0.89,0.41,-0.308345301,,0.271827217,0.00595635,0.002095,1.02E-07,0,0
1887,0.293874947,0.91,0.42,-0.330431504,,0.284248971,0.006408825,0.003217,1.52E-07,0,0
1888,0.325401703,0.91,0.42,-0.217471773,,0.314114789,0.006708767,0.004578,1.48E-07,0,0
1889,0.32527282,0.91,0.43,-0.112888837,,0.314182563,0.007753099,0.003337,1.59E-07,0,0
1890,0.3543827,0.95,0.43,-0.015814076,,0.341735376,0.009457171,0.003189971,1.82E-07,0,0
1891,0.370871704,0.97,0.44,0.194981706,,0.357285529,0.011143988,0.002442,1.87E-07,0,0
1892,0.373932383,0.98,0.44,0.455673077,,0.360836761,0.010973424,0.002122,1.99E-07,0,0
1893,0.369451062,1,0.45,0.696590049,,0.355849727,0.011612154,0.001989,1.82E-07,0,0
1894,0.382330135,1.01,0.46,0.689963546,,0.369120487,0.011381442,0.001828016,1.90E-07,0,0
